2023-07-04 05:54:25 status half-configured gnupg-utils:arm64 2.2.40-1.1
2023-07-04 05:54:25 status installed gnupg-utils:arm64 2.2.40-1.1
2023-07-04 05:54:25 configure gpg-agent:arm64 2.2.40-1.1 <none>
2023-07-04 05:54:25 status unpacked gpg-agent:arm64 2.2.40-1.1
2023-07-04 05:54:25 status half-configured gpg-agent:arm64 2.2.40-1.1
2023-07-04 05:54:25 status installed gpg-agent:arm64 2.2.40-1.1
2023-07-04 05:54:25 configure gpgsm:arm64 2.2.40-1.1 <none>
2023-07-04 05:54:25 status unpacked gpgsm:arm64 2.2.40-1.1
2023-07-04 05:54:25 status half-configured gpgsm:arm64 2.2.40-1.1
2023-07-04 05:54:25 status installed gpgsm:arm64 2.2.40-1.1
2023-07-04 05:54:25 configure dirmngr:arm64 2.2.40-1.1 <none>
2023-07-04 05:54:25 status unpacked dirmngr:arm64 2.2.40-1.1
2023-07-04 05:54:25 status half-configured dirmngr:arm64 2.2.40-1.1
2023-07-04 05:54:26 status installed dirmngr:arm64 2.2.40-1.1
2023-07-04 05:54:26 configure gpg-wks-server:arm64 2.2.40-1.1 <none>
2023-07-04 05:54:26 status unpacked gpg-wks-server:arm64 2.2.40-1.1
2023-07-04 05:54:26 status half-configured gpg-wks-server:arm64 2.2.40-1.1
2023-07-04 05:54:26 status installed gpg-wks-server:arm64 2.2.40-1.1
2023-07-04 05:54:26 configure gpg-wks-client:arm64 2.2.40-1.1 <none>
2023-07-04 05:54:26 status unpacked gpg-wks-client:arm64 2.2.40-1.1
2023-07-04 05:54:26 status half-configured gpg-wks-client:arm64 2.2.40-1.1
2023-07-04 05:54:26 status installed gpg-wks-client:arm64 2.2.40-1.1
2023-07-04 05:54:26 configure gnupg:all 2.2.40-1.1 <none>
2023-07-04 05:54:26 status unpacked gnupg:all 2.2.40-1.1
2023-07-04 05:54:26 status half-configured gnupg:all 2.2.40-1.1
2023-07-04 05:54:26 status installed gnupg:all 2.2.40-1.1
2023-07-04 05:54:26 trigproc libc-bin:arm64 2.36-9 <none>
2023-07-04 05:54:26 status half-configured libc-bin:arm64 2.36-9
2023-07-04 05:54:26 status installed libc-bin:arm64 2.36-9
2023-07-04 05:54:26 trigproc ca-certificates:all 20230311 <none>
2023-07-04 05:54:26 status half-configured ca-certificates:all 20230311
2023-07-04 05:54:26 status installed ca-certificates:all 20230311
2023-07-04 05:54:40 startup archives unpack
2023-07-04 05:54:40 install perl-modules-5.36:all <none> 5.36.0-7
2023-07-04 05:54:40 status half-installed perl-modules-5.36:all 5.36.0-7
2023-07-04 05:54:40 status unpacked perl-modules-5.36:all 5.36.0-7
2023-07-04 05:54:40 install libgdbm6:arm64 <none> 1.23-3
2023-07-04 05:54:40 status triggers-pending libc-bin:arm64 2.36-9
2023-07-04 05:54:40 status half-installed libgdbm6:arm64 1.23-3
2023-07-04 05:54:40 status unpacked libgdbm6:arm64 1.23-3
2023-07-04 05:54:40 install libgdbm-compat4:arm64 <none> 1.23-3
2023-07-04 05:54:40 status half-installed libgdbm-compat4:arm64 1.23-3
2023-07-04 05:54:40 status unpacked libgdbm-compat4:arm64 1.23-3
2023-07-04 05:54:40 install libperl5.36:arm64 <none> 5.36.0-7
2023-07-04 05:54:40 status half-installed libperl5.36:arm64 5.36.0-7
2023-07-04 05:54:40 status unpacked libperl5.36:arm64 5.36.0-7
2023-07-04 05:54:40 install perl:arm64 <none> 5.36.0-7
2023-07-04 05:54:40 status half-installed perl:arm64 5.36.0-7
2023-07-04 05:54:40 status unpacked perl:arm64 5.36.0-7
2023-07-04 05:54:40 install libpython3.11-minimal:arm64 <none> 3.11.2-6
2023-07-04 05:54:40 status half-installed libpython3.11-minimal:arm64 3.11.2-6
2023-07-04 05:54:40 status unpacked libpython3.11-minimal:arm64 3.11.2-6
2023-07-04 05:54:40 install libexpat1:arm64 <none> 2.5.0-1
2023-07-04 05:54:40 status half-installed libexpat1:arm64 2.5.0-1
2023-07-04 05:54:40 status unpacked libexpat1:arm64 2.5.0-1
2023-07-04 05:54:40 install python3.11-minimal:arm64 <none> 3.11.2-6
2023-07-04 05:54:40 status half-installed python3.11-minimal:arm64 3.11.2-6
2023-07-04 05:54:41 status unpacked python3.11-minimal:arm64 3.11.2-6
2023-07-04 05:54:41 startup packages configure
2023-07-04 05:54:41 configure libpython3.11-minimal:arm64 3.11.2-6 <none>
2023-07-04 05:54:41 status unpacked libpython3.11-minimal:arm64 3.11.2-6
2023-07-04 05:54:41 status half-configured libpython3.11-minimal:arm64 3.11.2-6
2023-07-04 05:54:41 status installed libpython3.11-minimal:arm64 3.11.2-6
2023-07-04 05:54:41 configure libexpat1:arm64 2.5.0-1 <none>
2023-07-04 05:54:41 status unpacked libexpat1:arm64 2.5.0-1
2023-07-04 05:54:41 status half-configured libexpat1:arm64 2.5.0-1
2023-07-04 05:54:41 status installed libexpat1:arm64 2.5.0-1
2023-07-04 05:54:41 configure python3.11-minimal:arm64 3.11.2-6 <none>
2023-07-04 05:54:41 status unpacked python3.11-minimal:arm64 3.11.2-6
2023-07-04 05:54:41 status half-configured python3.11-minimal:arm64 3.11.2-6
2023-07-04 05:54:41 status installed python3.11-minimal:arm64 3.11.2-6
2023-07-04 05:54:41 startup archives unpack
2023-07-04 05:54:41 install python3-minimal:arm64 <none> 3.11.2-1+b1
2023-07-04 05:54:41 status half-installed python3-minimal:arm64 3.11.2-1+b1
2023-07-04 05:54:41 status unpacked python3-minimal:arm64 3.11.2-1+b1
2023-07-04 05:54:41 install media-types:all <none> 10.0.0
2023-07-04 05:54:41 status half-installed media-types:all 10.0.0
2023-07-04 05:54:41 status unpacked media-types:all 10.0.0
2023-07-04 05:54:41 install libtirpc-common:all <none> 1.3.3+ds-1
2023-07-04 05:54:41 status half-installed libtirpc-common:all 1.3.3+ds-1
2023-07-04 05:54:41 status unpacked libtirpc-common:all 1.3.3+ds-1
2023-07-04 05:54:41 install libtirpc3:arm64 <none> 1.3.3+ds-1
2023-07-04 05:54:41 status half-installed libtirpc3:arm64 1.3.3+ds-1
2023-07-04 05:54:41 status unpacked libtirpc3:arm64 1.3.3+ds-1
2023-07-04 05:54:41 install libnsl2:arm64 <none> 1.3.0-2
2023-07-04 05:54:41 status half-installed libnsl2:arm64 1.3.0-2
2023-07-04 05:54:41 status unpacked libnsl2:arm64 1.3.0-2
2023-07-04 05:54:41 install libpython3.11-stdlib:arm64 <none> 3.11.2-6
2023-07-04 05:54:41 status half-installed libpython3.11-stdlib:arm64 3.11.2-6
2023-07-04 05:54:41 status unpacked libpython3.11-stdlib:arm64 3.11.2-6
2023-07-04 05:54:41 install python3.11:arm64 <none> 3.11.2-6
2023-07-04 05:54:41 status half-installed python3.11:arm64 3.11.2-6
2023-07-04 05:54:42 status unpacked python3.11:arm64 3.11.2-6
2023-07-04 05:54:42 install libpython3-stdlib:arm64 <none> 3.11.2-1+b1
2023-07-04 05:54:42 status half-installed libpython3-stdlib:arm64 3.11.2-1+b1
2023-07-04 05:54:42 status unpacked libpython3-stdlib:arm64 3.11.2-1+b1
2023-07-04 05:54:42 startup packages configure
2023-07-04 05:54:42 configure python3-minimal:arm64 3.11.2-1+b1 <none>
2023-07-04 05:54:42 status unpacked python3-minimal:arm64 3.11.2-1+b1
2023-07-04 05:54:42 status half-configured python3-minimal:arm64 3.11.2-1+b1
2023-07-04 05:54:42 status installed python3-minimal:arm64 3.11.2-1+b1
2023-07-04 05:54:42 startup archives unpack
2023-07-04 05:54:42 install python3:arm64 <none> 3.11.2-1+b1
2023-07-04 05:54:42 status half-installed python3:arm64 3.11.2-1+b1
2023-07-04 05:54:42 status unpacked python3:arm64 3.11.2-1+b1
2023-07-04 05:54:42 install libproc2-0:arm64 <none> 2:4.0.2-3
2023-07-04 05:54:42 status half-installed libproc2-0:arm64 2:4.0.2-3
2023-07-04 05:54:42 status unpacked libproc2-0:arm64 2:4.0.2-3
